technique_id,name,impact
T1055.015,ListPlanting,Medium
T1665,Hide Infrastructure,Medium
T1484,Domain or Tenant Policy Modification,Medium
T1220,XSL Script Processing,Medium
T1596.005,Scan Databases,Medium
T1564.001,Hidden Files and Directories,Medium
T1578.001,Create Snapshot,Medium
T1591.001,Determine Physical Locations,Medium
T1137.002,Office Test,Medium
T1587,Develop Capabilities,Medium
T1173,Dynamic Data Exchange,High
T1003.003,NTDS,Medium
T1602.001,SNMP (MIB Dump),Medium
T1001.002,Steganography,Medium
T1204.001,Malicious Link,High
T1550.001,Application Access Token,Medium
T1547.008,LSASS Driver,Medium
T1569.002,Service Execution,High
T1078.004,Cloud Accounts,High
T1480.001,Environmental Keying,Medium
T1008,Fallback Channels,Medium
T1680,Local Storage Discovery,Medium
T1564.004,NTFS File Attributes,Medium
T1558.003,Kerberoasting,Medium
T1096,NTFS File Attributes,Medium
T1003.006,DCSync,Medium
T1124,System Time Discovery,Medium
T1053.002,At,High
T1035,Service Execution,High
T1055.001,Dynamic-link Library Injection,Medium
T1086,PowerShell,High
T1588.005,Exploits,Medium
T1556,Modify Authentication Process,Medium
T1546.017,Udev Rules,Medium
T1056.004,Credential API Hooking,Medium
T1495,Firmware Corruption,Medium
T1490,Inhibit System Recovery,Medium
T1546.007,Netsh Helper DLL,Medium
T1566.003,Spearphishing via Service,High
T1090.001,Internal Proxy,Medium
T1216,System Script Proxy Execution,Medium
T1094,Custom Command and Control Protocol,Medium
T1102.001,Dead Drop Resolver,Medium
T1118,InstallUtil,High
T1001.001,Junk Data,Medium
T1598.001,Spearphishing Service,Medium
T1043,Commonly Used Port,Medium
T1505.006,vSphere Installation Bundles,Medium
T1552.007,Container API,Medium
T1584.001,Domains,Medium
T1505.001,SQL Stored Procedures,Medium
T1556.004,Network Device Authentication,Medium
T1561.001,Disk Content Wipe,Medium
T1213.005,Messaging Applications,Medium
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Medium
T1027.015,Compression,Medium
T1574.004,Dylib Hijacking,Medium
T1601.002,Downgrade System Image,Medium
T1078.003,Local Accounts,High
T1669,Wi-Fi Networks,High
T1211,Exploitation for Defense Evasion,Medium
T1127,Trusted Developer Utilities Proxy Execution,Medium
T1529,System Shutdown/Reboot,Medium
T1218.014,MMC,Medium
T1564.010,Process Argument Spoofing,Medium
T1077,Windows Admin Shares,Medium
T1574.012,COR_PROFILER,Medium
