technique_id,name,impact,mitre_tactic_score
T1037.005,Startup Items,Medium,0.5
T1100,Web Shell,Medium,0.5
T1186,Process Doppelgänging,Medium,0.5
T1184,SSH Hijacking,Medium,0.5
T1614.001,System Language Discovery,Medium,0.5
T1095,Non-Application Layer Protocol,Medium,0.5
T1075,Pass the Hash,Medium,0.5
T1059.013,Container CLI/API,High,0.9
T1027.003,Steganography,Medium,0.5
T1584.002,DNS Server,Medium,0.5
T1671,Cloud Application Integration,Medium,0.5
T1001.003,Protocol or Service Impersonation,Medium,0.5
T1012,Query Registry,Medium,0.5
T1030,Data Transfer Size Limits,Medium,0.5
T1028,Windows Remote Management,High,0.9
T1550.004,Web Session Cookie,Medium,0.5
T1078.002,Domain Accounts,High,0.9
T1218.009,Regsvcs/Regasm,Medium,0.5
T1034,Path Interception,Medium,0.5
T1546.018,Python Startup Hooks,Medium,0.5
T1506,Web Session Cookie,Medium,0.5
T1553.004,Install Root Certificate,Medium,0.5
T1037.003,Network Logon Script,Medium,0.5
T1499,Endpoint Denial of Service,Medium,0.5
T1027.004,Compile After Delivery,Medium,0.5
T1065,Uncommonly Used Port,Medium,0.5
T1614,System Location Discovery,Medium,0.5
T1564.007,VBA Stomping,Medium,0.5
T1197,BITS Jobs,Medium,0.5
T1127.001,MSBuild,Medium,0.5
T1656,Impersonation,Medium,0.5
T1578.005,Modify Cloud Compute Configurations,Medium,0.5
T1088,Bypass User Account Control,Medium,0.5
T1494,Runtime Data Manipulation,Medium,0.5
T1090.004,Domain Fronting,Medium,0.5
T1557.002,ARP Cache Poisoning,Medium,0.5
T1562.008,Disable or Modify Cloud Logs,Medium,0.5
T1518.001,Security Software Discovery,Medium,0.5
T1564.003,Hidden Window,Medium,0.5
T1493,Transmitted Data Manipulation,Medium,0.5
T1127.002,ClickOnce,Medium,0.5
T1059.006,Python,High,0.9
T1070.010,Relocate Malware,Medium,0.5
T1591.004,Identify Roles,Medium,0.5
T1132,Data Encoding,Medium,0.5
T1546.010,AppInit DLLs,Medium,0.5
T1598,Phishing for Information,Medium,0.5
T1496,Resource Hijacking,Medium,0.5
T1585,Establish Accounts,Medium,0.5
T1588,Obtain Capabilities,Medium,0.5
T1546.002,Screensaver,Medium,0.5
T1147,Hidden Users,Medium,0.5
T1556.009,Conditional Access Policies,Medium,0.5
T1578.002,Create Cloud Instance,Medium,0.5
T1500,Compile After Delivery,Medium,0.5
T1555.006,Cloud Secrets Management Stores,Medium,0.5
T1213.003,Code Repositories,Medium,0.5
T1565.002,Transmitted Data Manipulation,Medium,0.5
T1003.008,/etc/passwd and /etc/shadow,Medium,0.5
T1543.001,Launch Agent,Medium,0.5
T1569,System Services,High,0.9
T1059.003,Windows Command Shell,High,0.9
T1055.009,Proc Memory,Medium,0.5
T1223,Compiled HTML File,High,0.9
T1650,Acquire Access,Medium,0.5
T1601.001,Patch System Image,Medium,0.5
T1558.002,Silver Ticket,Medium,0.5
T1213,Data from Information Repositories,Medium,0.5
T1070.009,Clear Persistence,Medium,0.5
T1059.012,Hypervisor CLI,High,0.9
T1146,Clear Command History,Medium,0.5
T1555.004,Windows Credential Manager,Medium,0.5
T1036.010,Masquerade Account Name,Medium,0.5
T1519,Emond,Medium,0.5
T1194,Spearphishing via Service,High,0.9
T1200,Hardware Additions,High,0.9
T1219.002,Remote Desktop Software,Medium,0.5
T1505,Server Software Component,Medium,0.5
T1485,Data Destruction,Medium,0.5
T1132.002,Non-Standard Encoding,Medium,0.5
T1556.001,Domain Controller Authentication,Medium,0.5
T1537,Transfer Data to Cloud Account,Medium,0.5
T1027.006,HTML Smuggling,Medium,0.5
T1556.005,Reversible Encryption,Medium,0.5
T1027.010,Command Obfuscation,Medium,0.5
T1130,Install Root Certificate,Medium,0.5
T1022,Data Encrypted,Medium,0.5
T1070.004,File Deletion,Medium,0.5
T1189,Drive-by Compromise,High,0.9
T1498,Network Denial of Service,Medium,0.5
T1651,Cloud Administration Command,High,0.9
T1546.016,Installer Packages,Medium,0.5
T1595.001,Scanning IP Blocks,Medium,0.5
T1158,Hidden Files and Directories,Medium,0.5
T1221,Template Injection,Medium,0.5
T1037.004,RC Scripts,Medium,0.5
T1134,Access Token Manipulation,Medium,0.5
T1209,Time Providers,Medium,0.5
T1111,Multi-Factor Authentication Interception,Medium,0.5
T1159,Launch Agent,Medium,0.5
T1027.002,Software Packing,Medium,0.5
T1584.007,Serverless,Medium,0.5
T1071.001,Web Protocols,Medium,0.5
T1059.005,Visual Basic,High,0.9
T1564.005,Hidden File System,Medium,0.5
T1543.002,Systemd Service,Medium,0.5
T1668,Exclusive Control,Medium,0.5
T1563.002,RDP Hijacking,Medium,0.5
T1136,Create Account,Medium,0.5
T1547.013,XDG Autostart Entries,Medium,0.5
T1584.004,Server,Medium,0.5
T1672,Email Spoofing,Medium,0.5
T1526,Cloud Service Discovery,Medium,0.5
T1204.004,Malicious Copy and Paste,High,0.9
T1151,Space after Filename,High,0.9
T1018,Remote System Discovery,Medium,0.5
T1046,Network Service Discovery,Medium,0.5
T1590.001,Domain Properties,Medium,0.5
T1518,Software Discovery,Medium,0.5
T1538,Cloud Service Dashboard,Medium,0.5
T1055.005,Thread Local Storage,Medium,0.5
T1622,Debugger Evasion,Medium,0.5
T1036.006,Space after Filename,Medium,0.5
T1547.007,Re-opened Applications,Medium,0.5
T1608.006,SEO Poisoning,Medium,0.5
T1550.002,Pass the Hash,Medium,0.5
T1052,Exfiltration Over Physical Medium,Medium,0.5
T1574.002,DLL Side-Loading,Medium,0.5
T1105,Ingress Tool Transfer,Medium,0.5
T1216.002,SyncAppvPublishingServer,Medium,0.5
T1098.002,Additional Email Delegate Permissions,Medium,0.5
T1588.003,Code Signing Certificates,Medium,0.5
T1126,Network Share Connection Removal,Medium,0.5
T1648,Serverless Execution,High,0.9
T1548.006,TCC Manipulation,Medium,0.5
T1084,Windows Management Instrumentation Event Subscription,Medium,0.5
T1160,Launch Daemon,Medium,0.5
T1055.008,Ptrace System Calls,Medium,0.5
T1653,Power Settings,Medium,0.5
T1027.007,Dynamic API Resolution,Medium,0.5
T1021.001,Remote Desktop Protocol,Medium,0.5
T1037.001,Logon Script (Windows),Medium,0.5
T1055.015,ListPlanting,Medium,0.5
T1665,Hide Infrastructure,Medium,0.5
T1484,Domain or Tenant Policy Modification,Medium,0.5
T1220,XSL Script Processing,Medium,0.5
T1596.005,Scan Databases,Medium,0.5
T1564.001,Hidden Files and Directories,Medium,0.5
T1578.001,Create Snapshot,Medium,0.5
T1591.001,Determine Physical Locations,Medium,0.5
T1137.002,Office Test,Medium,0.5
T1587,Develop Capabilities,Medium,0.5
T1173,Dynamic Data Exchange,High,0.9
T1003.003,NTDS,Medium,0.5
T1602.001,SNMP (MIB Dump),Medium,0.5
T1001.002,Steganography,Medium,0.5
T1204.001,Malicious Link,High,0.9
T1550.001,Application Access Token,Medium,0.5
T1547.008,LSASS Driver,Medium,0.5
T1569.002,Service Execution,High,0.9
T1078.004,Cloud Accounts,High,0.9
T1480.001,Environmental Keying,Medium,0.5
T1008,Fallback Channels,Medium,0.5
T1680,Local Storage Discovery,Medium,0.5
T1564.004,NTFS File Attributes,Medium,0.5
T1558.003,Kerberoasting,Medium,0.5
T1096,NTFS File Attributes,Medium,0.5
T1003.006,DCSync,Medium,0.5
T1124,System Time Discovery,Medium,0.5
T1053.002,At,High,0.9
T1035,Service Execution,High,0.9
T1055.001,Dynamic-link Library Injection,Medium,0.5
T1086,PowerShell,High,0.9
T1588.005,Exploits,Medium,0.5
T1556,Modify Authentication Process,Medium,0.5
T1546.017,Udev Rules,Medium,0.5
T1056.004,Credential API Hooking,Medium,0.5
T1495,Firmware Corruption,Medium,0.5
T1490,Inhibit System Recovery,Medium,0.5
T1546.007,Netsh Helper DLL,Medium,0.5
T1566.003,Spearphishing via Service,High,0.9
T1090.001,Internal Proxy,Medium,0.5
T1216,System Script Proxy Execution,Medium,0.5
T1094,Custom Command and Control Protocol,Medium,0.5
T1102.001,Dead Drop Resolver,Medium,0.5
T1118,InstallUtil,High,0.9
T1001.001,Junk Data,Medium,0.5
T1598.001,Spearphishing Service,Medium,0.5
T1043,Commonly Used Port,Medium,0.5
T1505.006,vSphere Installation Bundles,Medium,0.5
T1552.007,Container API,Medium,0.5
T1584.001,Domains,Medium,0.5
T1505.001,SQL Stored Procedures,Medium,0.5
T1556.004,Network Device Authentication,Medium,0.5
T1561.001,Disk Content Wipe,Medium,0.5
T1213.005,Messaging Applications,Medium,0.5
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Medium,0.5
T1027.015,Compression,Medium,0.5
T1574.004,Dylib Hijacking,Medium,0.5
T1601.002,Downgrade System Image,Medium,0.5
T1078.003,Local Accounts,High,0.9
T1669,Wi-Fi Networks,High,0.9
T1211,Exploitation for Defense Evasion,Medium,0.5
T1127,Trusted Developer Utilities Proxy Execution,Medium,0.5
T1529,System Shutdown/Reboot,Medium,0.5
T1218.014,MMC,Medium,0.5
T1564.010,Process Argument Spoofing,Medium,0.5
T1077,Windows Admin Shares,Medium,0.5
T1574.012,COR_PROFILER,Medium,0.5
